Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Inovio Pharmaceuticals/ Beijing Advaccine Biotechnology/ VGXI Inc./ Richter-Helm BioLogics/ Ology Bioservices/ International Vaccine Institute/ Seoul National University Hospital/ Thermo Fisher Scientific/ Kaneka Eurogentec,Vaccine,DNA-based,Phase II,"Phase I data published December 2020; Phase II dosed December 2020, as part of its Phase II/III clinical trial (INNOVATE); FDA partial clinical hold for planned Phase II/III trial reported on 9/28/2020; Phase I/IIa trial began July 2020; Animal study results released July 2020; Joined US Operation Warp Speed in June 2020; Phase I began April 2020, interim data of ongoing study released June 2020",DNA; (INO-4800) plasmid vaccine with electroporation ,"ChiCTR2000040146, NCT04336410, NCT04447781, NCT04642638",Coalition for Epidemic Preparedness (CEPI) / Gates Foundation / US Department of Defense,"Inovio (http://ir.inovio.com/news-releases/news-releases-details/2020/INOVIO-Announces-Positive-Interim-Phase-1-Data-For-INO-4800-Vaccine-for-COVID-19/default.aspx), EClinicalMedicine (https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(20)30433-8/fulltext)",Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"GeneOne
  Life Science",Vaccine,DNA-based,Phase I/II,Phase I/IIa began December 2020,DNA; (GLS-5310),NCT04673149,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Genexine Consortium (GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH)/ Binex/ PT Kalbe Pharma",Vaccine,DNA-based,Phase I/II,Phase I/II study: Phase I began end of June 2020; Animal study results announced August 2020,DNA; (GX-19),NCT04445389,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Osaka University/ AnGes/ Takara Bio/ Cytiva/ Brickell Biotech,Vaccine,DNA-based,Phase I/II,"Phase II/III trial began recruiting December 2020; Pre-clinical study results released October 2020; Phase I/II trials began end of June (AG0301) and August (AG0302) 2020, results expected during Q1 2021",DNA; (AG0301 & AG0302) plasmid vaccine + adjuvant ,"jRCT2051200085,  jRCT2051200088, NCT04463472, NCT04527081, NCT04655625",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Zydus Cadila Healthcare Limited ,Vaccine,DNA-based,Phase I/II,"DCGI approved start of Phase III trial in January 2021; Phase I/II study: Phase I began July 2020 and Phase II began August 2020, initial results expected September 2020",DNA; (ZyCoV-D) plasmid vaccine ,"CTRI/2020/07/026352, CTRI/2021/01/030416",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Symvivo,Vaccine,DNA-based,Phase I,Phase I dosed November 2020,DNA; bacTRL-Spike,NCT04334980,National Research Council of Canada Industrial Research Assistance Program (NRC IRAP),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/2/2020
BioNet Asia/ Technovalia/ Vax4COVID/ The University of Sydney/ The University of Western Australia/ Telethon Kids Institute/ PharmaJet,Vaccine,DNA-based,Pre-clinical,Phase I expected to begin Q4 2020,DNA; (COVIGEN) needle-free delivery,,Australian Government Medical Research Future Fund (MRFF),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Chula Vaccine Research Center,Vaccine,DNA-based,Pre-clinical,Unknown,DNA with electroporation,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Ege University Drug Development and Pharmacokinetic Research Application Center (ARGEFAR)/ Scientific and Technological Research Council of Turkey (TUBITAK),Vaccine,DNA-based,Pre-clinical,Unknown,DNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Entos Pharmaceuticals/ Cytiva,Vaccine,DNA-based,Pre-clinical,Phase I/II expected to begin December 2020,DNA; (Covigenix),NCT04591184,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA)/ National Research Council of Canada Industrial Research Assistance Program (NRC IRAP),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
